GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20
17355,ZCTA5 17355,42133,York County
17356,ZCTA5 17356,42133,York County
17360,ZCTA5 17360,42133,York County
17361,ZCTA5 17361,42133,York County
17362,ZCTA5 17362,42133,York County
17363,ZCTA5 17363,42133,York County
17364,ZCTA5 17364,42133,York County
17365,ZCTA5 17365,42133,York County
17366,ZCTA5 17366,42133,York County
17368,ZCTA5 17368,42133,York County
17370,ZCTA5 17370,42133,York County
17371,ZCTA5 17371,42133,York County
17372,ZCTA5 17372,42001,Adams County
17372,ZCTA5 17372,42133,York County
17401,ZCTA5 17401,42133,York County
17402,ZCTA5 17402,42133,York County
17403,ZCTA5 17403,42133,York County
17404,ZCTA5 17404,42133,York County
17406,ZCTA5 17406,42133,York County
17407,ZCTA5 17407,42133,York County
17408,ZCTA5 17408,42133,York County
17501,ZCTA5 17501,42071,Lancaster County
17502,ZCTA5 17502,42071,Lancaster County
17504,ZCTA5 17504,42071,Lancaster County
17505,ZCTA5 17505,42071,Lancaster County
17506,ZCTA5 17506,42071,Lancaster County
17507,ZCTA5 17507,42071,Lancaster County
17508,ZCTA5 17508,42071,Lancaster County
17509,ZCTA5 17509,42071,Lancaster County
17512,ZCTA5 17512,42071,Lancaster County
17516,ZCTA5 17516,42071,Lancaster County
17517,ZCTA5 17517,42071,Lancaster County
17518,ZCTA5 17518,42071,Lancaster County
17519,ZCTA5 17519,42071,Lancaster County
17520,ZCTA5 17520,42071,Lancaster County
17522,ZCTA5 17522,42071,Lancaster County
17527,ZCTA5 17527,42029,Chester County
17527,ZCTA5 17527,42071,Lancaster County
17529,ZCTA5 17529,42071,Lancaster County
17532,ZCTA5 17532,42071,Lancaster County
17534,ZCTA5 17534,42071,Lancaster County
17535,ZCTA5 17535,42071,Lancaster County
17536,ZCTA5 17536,42071,Lancaster County
17538,ZCTA5 17538,42071,Lancaster County
17540,ZCTA5 17540,42071,Lancaster County
17543,ZCTA5 17543,42071,Lancaster County
17545,ZCTA5 17545,42071,Lancaster County
17545,ZCTA5 17545,42075,Lebanon County
17547,ZCTA5 17547,42071,Lancaster County
17550,ZCTA5 17550,42071,Lancaster County
17551,ZCTA5 17551,42071,Lancaster County
17552,ZCTA5 17552,42071,Lancaster County
17554,ZCTA5 17554,42071,Lancaster County
17555,ZCTA5 17555,42011,Berks County
17555,ZCTA5 17555,42029,Chester County
17555,ZCTA5 17555,42071,Lancaster County
17557,ZCTA5 17557,42071,Lancaster County
17560,ZCTA5 17560,42071,Lancaster County
17562,ZCTA5 17562,42071,Lancaster County
17563,ZCTA5 17563,42071,Lancaster County
17565,ZCTA5 17565,42071,Lancaster County
17566,ZCTA5 17566,42071,Lancaster County
17568,ZCTA5 17568,42071,Lancaster County
17569,ZCTA5 17569,42011,Berks County
17569,ZCTA5 17569,42071,Lancaster County
17570,ZCTA5 17570,42071,Lancaster County
17572,ZCTA5 17572,42071,Lancaster County
17576,ZCTA5 17576,42071,Lancaster County
17578,ZCTA5 17578,42071,Lancaster County
17579,ZCTA5 17579,42071,Lancaster County
17581,ZCTA5 17581,42071,Lancaster County
17582,ZCTA5 17582,42071,Lancaster County
17584,ZCTA5 17584,42071,Lancaster County
17601,ZCTA5 17601,42071,Lancaster County
17602,ZCTA5 17602,42071,Lancaster County
17603,ZCTA5 17603,42071,Lancaster County
17606,ZCTA5 17606,42071,Lancaster County
17701,ZCTA5 17701,42081,Lycoming County
17701,ZCTA5 17701,42113,Sullivan County
17702,ZCTA5 17702,42081,Lycoming County
17720,ZCTA5 17720,42081,Lycoming County
17721,ZCTA5 17721,42035,Clinton County
17723,ZCTA5 17723,42081,Lycoming County
17724,ZCTA5 17724,42015,Bradford County
17724,ZCTA5 17724,42081,Lycoming County
17724,ZCTA5 17724,42117,Tioga County
17727,ZCTA5 17727,42081,Lycoming County
17727,ZCTA5 17727,42117,Tioga County
17728,ZCTA5 17728,42081,Lycoming County
17729,ZCTA5 17729,42035,Clinton County
17729,ZCTA5 17729,42105,Potter County
17730,ZCTA5 17730,42097,Northumberland County
17731,ZCTA5 17731,42113,Sullivan County
17737,ZCTA5 17737,42081,Lycoming County
17737,ZCTA5 17737,42113,Sullivan County
17739,ZCTA5 17739,42081,Lycoming County
17740,ZCTA5 17740,42035,Clinton County
17740,ZCTA5 17740,42081,Lycoming County
17742,ZCTA5 17742,42081,Lycoming County
17744,ZCTA5 17744,42081,Lycoming County
17745,ZCTA5 17745,42035,Clinton County
17745,ZCTA5 17745,42081,Lycoming County
17747,ZCTA5 17747,42035,Clinton County
17748,ZCTA5 17748,42035,Clinton County
17749,ZCTA5 17749,42097,Northumberland County
17750,ZCTA5 17750,42035,Clinton County
17751,ZCTA5 17751,42035,Clinton County
17752,ZCTA5 17752,42081,Lycoming County
17754,ZCTA5 17754,42081,Lycoming County
17756,ZCTA5 17756,42037,Columbia County
17756,ZCTA5 17756,42081,Lycoming County
17756,ZCTA5 17756,42093,Montour County
17756,ZCTA5 17756,42097,Northumberland County
17758,ZCTA5 17758,42081,Lycoming County
17758,ZCTA5 17758,42113,Sullivan County
17760,ZCTA5 17760,42035,Clinton County
17762,ZCTA5 17762,42081,Lycoming County
17763,ZCTA5 17763,42081,Lycoming County
17764,ZCTA5 17764,42035,Clinton County
17765,ZCTA5 17765,42015,Bradford County
17765,ZCTA5 17765,42081,Lycoming County
17765,ZCTA5 17765,42117,Tioga County
17768,ZCTA5 17768,42113,Sullivan County
17769,ZCTA5 17769,42081,Lycoming County
17771,ZCTA5 17771,42081,Lycoming County
17772,ZCTA5 17772,42093,Montour County
17772,ZCTA5 17772,42097,Northumberland County
17774,ZCTA5 17774,42037,Columbia County
17774,ZCTA5 17774,42081,Lycoming County
17776,ZCTA5 17776,42081,Lycoming County
17777,ZCTA5 17777,42093,Montour County
17777,ZCTA5 17777,42097,Northumberland County
17778,ZCTA5 17778,42035,Clinton County
17779,ZCTA5 17779,42035,Clinton County
17801,ZCTA5 17801,42097,Northumberland County
17810,ZCTA5 17810,42081,Lycoming County
17810,ZCTA5 17810,42119,Union County
17812,ZCTA5 17812,42109,Snyder County
17813,ZCTA5 17813,42109,Snyder County
17814,ZCTA5 17814,42037,Columbia County
17814,ZCTA5 17814,42079,Luzerne County
17814,ZCTA5 17814,42081,Lycoming County
17814,ZCTA5 17814,42113,Sullivan County
17815,ZCTA5 17815,42037,Columbia County
17815,ZCTA5 17815,42079,Luzerne County
17815,ZCTA5 17815,42093,Montour County
17820,ZCTA5 17820,42037,Columbia County
17820,ZCTA5 17820,42093,Montour County
17821,ZCTA5 17821,42037,Columbia County
17821,ZCTA5 17821,42093,Montour County
17821,ZCTA5 17821,42097,Northumberland County
17822,ZCTA5 17822,42093,Montour County
17823,ZCTA5 17823,42097,Northumberland County
17824,ZCTA5 17824,42037,Columbia County
17824,ZCTA5 17824,42093,Montour County
17824,ZCTA5 17824,42097,Northumberland County
17827,ZCTA5 17827,42109,Snyder County
17829,ZCTA5 17829,42119,Union County
17830,ZCTA5 17830,42097,Northumberland County
17832,ZCTA5 17832,42097,Northumberland County
17834,ZCTA5 17834,42097,Northumberland County
17835,ZCTA5 17835,42119,Union County
17836,ZCTA5 17836,42097,Northumberland County
17837,ZCTA5 17837,42119,Union County
17840,ZCTA5 17840,42097,Northumberland County
17841,ZCTA5 17841,42087,Mifflin County
17841,ZCTA5 17841,42109,Snyder County
17842,ZCTA5 17842,42109,Snyder County
17844,ZCTA5 17844,42119,Union County
17845,ZCTA5 17845,42119,Union County
17846,ZCTA5 17846,42037,Columbia County
17846,ZCTA5 17846,42081,Lycoming County
17847,ZCTA5 17847,42093,Montour County
17847,ZCTA5 17847,42097,Northumberland County
17850,ZCTA5 17850,42097,Northumberland County
17851,ZCTA5 17851,42097,Northumberland County
17853,ZCTA5 17853,42067,Juniata County
17853,ZCTA5 17853,42109,Snyder County
17855,ZCTA5 17855,42119,Union County
17856,ZCTA5 17856,42119,Union County
17857,ZCTA5 17857,42097,Northumberland County
17858,ZCTA5 17858,42037,Columbia County
17859,ZCTA5 17859,42037,Columbia County
17860,ZCTA5 17860,42097,Northumberland County
17861,ZCTA5 17861,42109,Snyder County
17862,ZCTA5 17862,42109,Snyder County
17864,ZCTA5 17864,42109,Snyder County
17865,ZCTA5 17865,42097,Northumberland County
17866,ZCTA5 17866,42097,Northumberland County
17867,ZCTA5 17867,42097,Northumberland County
17868,ZCTA5 17868,42097,Northumberland County
17870,ZCTA5 17870,42109,Snyder County
17870,ZCTA5 17870,42119,Union County
17872,ZCTA5 17872,42097,Northumberland County
17876,ZCTA5 17876,42109,Snyder County
17878,ZCTA5 17878,42037,Columbia County
17878,ZCTA5 17878,42079,Luzerne County
17880,ZCTA5 17880,42119,Union County
17881,ZCTA5 17881,42097,Northumberland County
17884,ZCTA5 17884,42093,Montour County
17885,ZCTA5 17885,42119,Union County
17886,ZCTA5 17886,42119,Union County
17887,ZCTA5 17887,42119,Union County
17888,ZCTA5 17888,42037,Columbia County
17889,ZCTA5 17889,42109,Snyder County
17889,ZCTA5 17889,42119,Union County
17901,ZCTA5 17901,42107,Schuylkill County
17920,ZCTA5 17920,42037,Columbia County
17921,ZCTA5 17921,42037,Columbia County
17921,ZCTA5 17921,42107,Schuylkill County
17922,ZCTA5 17922,42107,Schuylkill County
17923,ZCTA5 17923,42107,Schuylkill County
17925,ZCTA5 17925,42107,Schuylkill County
17929,ZCTA5 17929,42107,Schuylkill County
17930,ZCTA5 17930,42107,Schuylkill County
17931,ZCTA5 17931,42107,Schuylkill County
17933,ZCTA5 17933,42107,Schuylkill County
17934,ZCTA5 17934,42107,Schuylkill County
17935,ZCTA5 17935,42107,Schuylkill County
17936,ZCTA5 17936,42107,Schuylkill County
17938,ZCTA5 17938,42107,Schuylkill County
17941,ZCTA5 17941,42097,Northumberland County
17941,ZCTA5 17941,42107,Schuylkill County
17943,ZCTA5 17943,42107,Schuylkill County
17944,ZCTA5 17944,42107,Schuylkill County
17945,ZCTA5 17945,42037,Columbia County
17945,ZCTA5 17945,42107,Schuylkill County
17946,ZCTA5 17946,42107,Schuylkill County
17948,ZCTA5 17948,42107,Schuylkill County
17949,ZCTA5 17949,42107,Schuylkill County
17951,ZCTA5 17951,42107,Schuylkill County
17952,ZCTA5 17952,42107,Schuylkill County
17953,ZCTA5 17953,42107,Schuylkill County
17954,ZCTA5 17954,42107,Schuylkill County
17957,ZCTA5 17957,42107,Schuylkill County
17959,ZCTA5 17959,42107,Schuylkill County
17960,ZCTA5 17960,42107,Schuylkill County
17961,ZCTA5 17961,42107,Schuylkill County
17963,ZCTA5 17963,42075,Lebanon County
17963,ZCTA5 17963,42107,Schuylkill County
17964,ZCTA5 17964,42097,Northumberland County
17964,ZCTA5 17964,42107,Schuylkill County
17965,ZCTA5 17965,42107,Schuylkill County
17967,ZCTA5 17967,42107,Schuylkill County
17968,ZCTA5 17968,42107,Schuylkill County
17970,ZCTA5 17970,42107,Schuylkill County
17972,ZCTA5 17972,42107,Schuylkill County
17974,ZCTA5 17974,42107,Schuylkill County
17976,ZCTA5 17976,42107,Schuylkill County
17978,ZCTA5 17978,42043,Dauphin County
17978,ZCTA5 17978,42107,Schuylkill County
17979,ZCTA5 17979,42107,Schuylkill County
17980,ZCTA5 17980,42043,Dauphin County
17980,ZCTA5 17980,42107,Schuylkill County
17981,ZCTA5 17981,42107,Schuylkill County
17982,ZCTA5 17982,42107,Schuylkill County
17983,ZCTA5 17983,42107,Schuylkill County
17985,ZCTA5 17985,42037,Columbia County
17985,ZCTA5 17985,42107,Schuylkill County
18011,ZCTA5 18011,42011,Berks County
18011,ZCTA5 18011,42077,Lehigh County
18012,ZCTA5 18012,42025,Carbon County
18013,ZCTA5 18013,42095,Northampton County
18014,ZCTA5 18014,42095,Northampton County
18015,ZCTA5 18015,42077,Lehigh County
18015,ZCTA5 18015,42095,Northampton County
18017,ZCTA5 18017,42077,Lehigh County
18017,ZCTA5 18017,42095,Northampton County
18018,ZCTA5 18018,42077,Lehigh County
18018,ZCTA5 18018,42095,Northampton County
18020,ZCTA5 18020,42095,Northampton County
18030,ZCTA5 18030,42025,Carbon County
18031,ZCTA5 18031,42011,Berks County
18031,ZCTA5 18031,42077,Lehigh County
18032,ZCTA5 18032,42077,Lehigh County
18032,ZCTA5 18032,42095,Northampton County
18034,ZCTA5 18034,42077,Lehigh County
18035,ZCTA5 18035,42095,Northampton County
18036,ZCTA5 18036,42017,Bucks County
18036,ZCTA5 18036,42077,Lehigh County
18037,ZCTA5 18037,42077,Lehigh County
18038,ZCTA5 18038,42095,Northampton County
18040,ZCTA5 18040,42095,Northampton County
18041,ZCTA5 18041,42011,Berks County
18041,ZCTA5 18041,42017,Bucks County
18041,ZCTA5 18041,42077,Lehigh County
18041,ZCTA5 18041,42091,Montgomery County
18042,ZCTA5 18042,42017,Bucks County
18042,ZCTA5 18042,42095,Northampton County
18045,ZCTA5 18045,42095,Northampton County
18046,ZCTA5 18046,42077,Lehigh County
18049,ZCTA5 18049,42077,Lehigh County
18051,ZCTA5 18051,42077,Lehigh County
18052,ZCTA5 18052,42077,Lehigh County
18053,ZCTA5 18053,42077,Lehigh County
18054,ZCTA5 18054,42017,Bucks County
18054,ZCTA5 18054,42091,Montgomery County
18055,ZCTA5 18055,42017,Bucks County
18055,ZCTA5 18055,42095,Northampton County
18056,ZCTA5 18056,42011,Berks County
18058,ZCTA5 18058,42025,Carbon County
18058,ZCTA5 18058,42089,Monroe County
18059,ZCTA5 18059,42077,Lehigh County
18062,ZCTA5 18062,42011,Berks County
18062,ZCTA5 18062,42077,Lehigh County
18063,ZCTA5 18063,42095,Northampton County
18064,ZCTA5 18064,42095,Northampton County
18065,ZCTA5 18065,42077,Lehigh County
18066,ZCTA5 18066,42077,Lehigh County
18067,ZCTA5 18067,42095,Northampton County
18069,ZCTA5 18069,42077,Lehigh County
18070,ZCTA5 18070,42011,Berks County
18070,ZCTA5 18070,42091,Montgomery County
18071,ZCTA5 18071,42025,Carbon County
18071,ZCTA5 18071,42089,Monroe County
18072,ZCTA5 18072,42095,Northampton County
18073,ZCTA5 18073,42017,Bucks County
18073,ZCTA5 18073,42091,Montgomery County
18074,ZCTA5 18074,42091,Montgomery County
18076,ZCTA5 18076,42091,Montgomery County
18077,ZCTA5 18077,42017,Bucks County
18077,ZCTA5 18077,42095,Northampton County
18078,ZCTA5 18078,42077,Lehigh County
18079,ZCTA5 18079,42077,Lehigh County
18080,ZCTA5 18080,42077,Lehigh County
18081,ZCTA5 18081,42017,Bucks County
18083,ZCTA5 18083,42095,Northampton County
18085,ZCTA5 18085,42095,Northampton County
18086,ZCTA5 18086,42095,Northampton County
18087,ZCTA5 18087,42077,Lehigh County
18088,ZCTA5 18088,42095,Northampton County
18091,ZCTA5 18091,42095,Northampton County
18092,ZCTA5 18092,42011,Berks County
18092,ZCTA5 18092,42077,Lehigh County
18101,ZCTA5 18101,42077,Lehigh County
18102,ZCTA5 18102,42077,Lehigh County
18103,ZCTA5 18103,42077,Lehigh County
18104,ZCTA5 18104,42077,Lehigh County
18106,ZCTA5 18106,42077,Lehigh County
18109,ZCTA5 18109,42077,Lehigh County
18109,ZCTA5 18109,42095,Northampton County
18195,ZCTA5 18195,42077,Lehigh County
18201,ZCTA5 18201,42025,Carbon County
18201,ZCTA5 18201,42079,Luzerne County
18202,ZCTA5 18202,42079,Luzerne County
18202,ZCTA5 18202,42107,Schuylkill County
18210,ZCTA5 18210,42025,Carbon County
18210,ZCTA5 18210,42089,Monroe County
18211,ZCTA5 18211,42025,Carbon County
18211,ZCTA5 18211,42107,Schuylkill County
18212,ZCTA5 18212,42025,Carbon County
18214,ZCTA5 18214,42107,Schuylkill County
18216,ZCTA5 18216,42025,Carbon County
18216,ZCTA5 18216,42079,Luzerne County
18218,ZCTA5 18218,42107,Schuylkill County
18219,ZCTA5 18219,42079,Luzerne County
18220,ZCTA5 18220,42107,Schuylkill County
18221,ZCTA5 18221,42079,Luzerne County
18222,ZCTA5 18222,42079,Luzerne County
18223,ZCTA5 18223,42079,Luzerne County
18224,ZCTA5 18224,42079,Luzerne County
18225,ZCTA5 18225,42079,Luzerne County
18229,ZCTA5 18229,42025,Carbon County
18230,ZCTA5 18230,42025,Carbon County
18231,ZCTA5 18231,42107,Schuylkill County
18232,ZCTA5 18232,42025,Carbon County
18234,ZCTA5 18234,42079,Luzerne County
18235,ZCTA5 18235,42025,Carbon County
18237,ZCTA5 18237,42025,Carbon County
18237,ZCTA5 18237,42107,Schuylkill County
18239,ZCTA5 18239,42079,Luzerne County
18240,ZCTA5 18240,42025,Carbon County
18240,ZCTA5 18240,42107,Schuylkill County
18241,ZCTA5 18241,42079,Luzerne County
18241,ZCTA5 18241,42107,Schuylkill County
18242,ZCTA5 18242,42107,Schuylkill County
18244,ZCTA5 18244,42025,Carbon County
18245,ZCTA5 18245,42107,Schuylkill County
18246,ZCTA5 18246,42079,Luzerne County
18248,ZCTA5 18248,42107,Schuylkill County
18249,ZCTA5 18249,42079,Luzerne County
18250,ZCTA5 18250,42025,Carbon County
18250,ZCTA5 18250,42107,Schuylkill County
18252,ZCTA5 18252,42107,Schuylkill County
18254,ZCTA5 18254,42025,Carbon County
18255,ZCTA5 18255,42025,Carbon County
18255,ZCTA5 18255,42079,Luzerne County
18256,ZCTA5 18256,42079,Luzerne County
18301,ZCTA5 18301,42089,Monroe County
18302,ZCTA5 18302,42089,Monroe County
18302,ZCTA5 18302,42103,Pike County
18321,ZCTA5 18321,42089,Monroe County
18322,ZCTA5 18322,42089,Monroe County
18323,ZCTA5 18323,42089,Monroe County
18324,ZCTA5 18324,42089,Monroe County
18324,ZCTA5 18324,42103,Pike County
18325,ZCTA5 18325,42089,Monroe County
18325,ZCTA5 18325,42103,Pike County
18326,ZCTA5 18326,42089,Monroe County
18326,ZCTA5 18326,42103,Pike County
18327,ZCTA5 18327,42089,Monroe County
18328,ZCTA5 18328,42103,Pike County
18330,ZCTA5 18330,42089,Monroe County
18331,ZCTA5 18331,42089,Monroe County
18332,ZCTA5 18332,42089,Monroe County
18333,ZCTA5 18333,42089,Monroe County
18334,ZCTA5 18334,42089,Monroe County
18335,ZCTA5 18335,42089,Monroe County
18336,ZCTA5 18336,42103,Pike County
18337,ZCTA5 18337,42103,Pike County
18340,ZCTA5 18340,42103,Pike County
18342,ZCTA5 18342,42089,Monroe County
18343,ZCTA5 18343,42095,Northampton County
18344,ZCTA5 18344,42089,Monroe County
18346,ZCTA5 18346,42089,Monroe County
18347,ZCTA5 18347,42089,Monroe County
18349,ZCTA5 18349,42089,Monroe County
18350,ZCTA5 18350,42089,Monroe County
18351,ZCTA5 18351,42095,Northampton County
18353,ZCTA5 18353,42089,Monroe County
18354,ZCTA5 18354,42089,Monroe County
18355,ZCTA5 18355,42089,Monroe County
18356,ZCTA5 18356,42089,Monroe County
18357,ZCTA5 18357,42089,Monroe County
18360,ZCTA5 18360,42089,Monroe County
18370,ZCTA5 18370,42089,Monroe County
18371,ZCTA5 18371,42103,Pike County
18372,ZCTA5 18372,42089,Monroe County
18403,ZCTA5 18403,42069,Lackawanna County
18405,ZCTA5 18405,42103,Pike County
18405,ZCTA5 18405,42127,Wayne County
18407,ZCTA5 18407,42069,Lackawanna County
18407,ZCTA5 18407,42115,Susquehanna County
18411,ZCTA5 18411,42069,Lackawanna County
18413,ZCTA5 18413,42115,Susquehanna County
18414,ZCTA5 18414,42069,Lackawanna County
18414,ZCTA5 18414,42131,Wyoming County
18415,ZCTA5 18415,42127,Wayne County
18417,ZCTA5 18417,42127,Wayne County
18419,ZCTA5 18419,42069,Lackawanna County
18419,ZCTA5 18419,42115,Susquehanna County
18419,ZCTA5 18419,42131,Wyoming County
18420,ZCTA5 18420,42069,Lackawanna County
18421,ZCTA5 18421,42069,Lackawanna County
18421,ZCTA5 18421,42115,Susquehanna County
18421,ZCTA5 18421,42127,Wayne County
18424,ZCTA5 18424,42069,Lackawanna County
18424,ZCTA5 18424,42079,Luzerne County
18424,ZCTA5 18424,42089,Monroe County
18424,ZCTA5 18424,42127,Wayne County
18425,ZCTA5 18425,42103,Pike County
18426,ZCTA5 18426,42103,Pike County
18426,ZCTA5 18426,42127,Wayne County
18428,ZCTA5 18428,42103,Pike County
18428,ZCTA5 18428,42127,Wayne County
18430,ZCTA5 18430,42115,Susquehanna County
18431,ZCTA5 18431,42127,Wayne County
18433,ZCTA5 18433,42069,Lackawanna County
18434,ZCTA5 18434,42069,Lackawanna County
18435,ZCTA5 18435,42103,Pike County
18436,ZCTA5 18436,42069,Lackawanna County
18436,ZCTA5 18436,42127,Wayne County
18437,ZCTA5 18437,42127,Wayne County
18438,ZCTA5 18438,42127,Wayne County
18439,ZCTA5 18439,42127,Wayne County
18440,ZCTA5 18440,42069,Lackawanna County
18441,ZCTA5 18441,42115,Susquehanna County
18443,ZCTA5 18443,42127,Wayne County
18444,ZCTA5 18444,42069,Lackawanna County
18444,ZCTA5 18444,42127,Wayne County
18445,ZCTA5 18445,42103,Pike County
18445,ZCTA5 18445,42127,Wayne County
18446,ZCTA5 18446,42069,Lackawanna County
18446,ZCTA5 18446,42115,Susquehanna County
18446,ZCTA5 18446,42131,Wyoming County
18447,ZCTA5 18447,42069,Lackawanna County
18451,ZCTA5 18451,42103,Pike County
18452,ZCTA5 18452,42069,Lackawanna County
18453,ZCTA5 18453,42127,Wayne County
18454,ZCTA5 18454,42127,Wayne County
18455,ZCTA5 18455,42127,Wayne County
18456,ZCTA5 18456,42127,Wayne County
18457,ZCTA5 18457,42103,Pike County
18458,ZCTA5 18458,42103,Pike County
18460,ZCTA5 18460,42127,Wayne County
18461,ZCTA5 18461,42127,Wayne County
18462,ZCTA5 18462,42115,Susquehanna County
18462,ZCTA5 18462,42127,Wayne County
18463,ZCTA5 18463,42127,Wayne County
18464,ZCTA5 18464,42103,Pike County
18465,ZCTA5 18465,42115,Susquehanna County
18465,ZCTA5 18465,42127,Wayne County
18466,ZCTA5 18466,42089,Monroe County
18466,ZCTA5 18466,42127,Wayne County
18469,ZCTA5 18469,42127,Wayne County
18470,ZCTA5 18470,42115,Susquehanna County
18470,ZCTA5 18470,42127,Wayne County
18471,ZCTA5 18471,42069,Lackawanna County
18472,ZCTA5 18472,42127,Wayne County
18473,ZCTA5 18473,42127,Wayne County
18503,ZCTA5 18503,42069,Lackawanna County
18504,ZCTA5 18504,42069,Lackawanna County
18505,ZCTA5 18505,42069,Lackawanna County
18507,ZCTA5 18507,42069,Lackawanna County
18508,ZCTA5 18508,42069,Lackawanna County
18509,ZCTA5 18509,42069,Lackawanna County
18510,ZCTA5 18510,42069,Lackawanna County
18512,ZCTA5 18512,42069,Lackawanna County
18517,ZCTA5 18517,42069,Lackawanna County
18518,ZCTA5 18518,42069,Lackawanna County
18519,ZCTA5 18519,42069,Lackawanna County
18602,ZCTA5 18602,42079,Luzerne County
18603,ZCTA5 18603,42037,Columbia County
18603,ZCTA5 18603,42079,Luzerne County
18610,ZCTA5 18610,42079,Luzerne County
18610,ZCTA5 18610,42089,Monroe County
18612,ZCTA5 18612,42079,Luzerne County
18612,ZCTA5 18612,42131,Wyoming County
18614,ZCTA5 18614,42015,Bradford County
18614,ZCTA5 18614,42113,Sullivan County
18614,ZCTA5 18614,42131,Wyoming County
18615,ZCTA5 18615,42079,Luzerne County
18615,ZCTA5 18615,42131,Wyoming County
18616,ZCTA5 18616,42015,Bradford County
18616,ZCTA5 18616,42113,Sullivan County
18617,ZCTA5 18617,42079,Luzerne County
18618,ZCTA5 18618,42079,Luzerne County
18618,ZCTA5 18618,42131,Wyoming County
18619,ZCTA5 18619,42081,Lycoming County
18619,ZCTA5 18619,42113,Sullivan County
18621,ZCTA5 18621,42079,Luzerne County
18622,ZCTA5 18622,42079,Luzerne County
18623,ZCTA5 18623,42015,Bradford County
18623,ZCTA5 18623,42115,Susquehanna County
18623,ZCTA5 18623,42131,Wyoming County
18624,ZCTA5 18624,42025,Carbon County
18625,ZCTA5 18625,42131,Wyoming County
18626,ZCTA5 18626,42113,Sullivan County
18627,ZCTA5 18627,42079,Luzerne County
18628,ZCTA5 18628,42113,Sullivan County
18629,ZCTA5 18629,42131,Wyoming County
18630,ZCTA5 18630,42115,Susquehanna County
18630,ZCTA5 18630,42131,Wyoming County
18631,ZCTA5 18631,42037,Columbia County
18632,ZCTA5 18632,42113,Sullivan County
18634,ZCTA5 18634,42079,Luzerne County
18635,ZCTA5 18635,42037,Columbia County
18635,ZCTA5 18635,42079,Luzerne County
18636,ZCTA5 18636,42079,Luzerne County
18636,ZCTA5 18636,42131,Wyoming County
18640,ZCTA5 18640,42079,Luzerne County
18641,ZCTA5 18641,42069,Lackawanna County
18641,ZCTA5 18641,42079,Luzerne County
18642,ZCTA5 18642,42079,Luzerne County
18643,ZCTA5 18643,42079,Luzerne County
18644,ZCTA5 18644,42079,Luzerne County
18651,ZCTA5 18651,42079,Luzerne County
18655,ZCTA5 18655,42037,Columbia County
18655,ZCTA5 18655,42079,Luzerne County
18656,ZCTA5 18656,42079,Luzerne County
18657,ZCTA5 18657,42131,Wyoming County
18660,ZCTA5 18660,42079,Luzerne County
18661,ZCTA5 18661,42025,Carbon County
18661,ZCTA5 18661,42079,Luzerne County
18701,ZCTA5 18701,42079,Luzerne County
18702,ZCTA5 18702,42079,Luzerne County
18704,ZCTA5 18704,42079,Luzerne County
18705,ZCTA5 18705,42079,Luzerne County
18706,ZCTA5 18706,42079,Luzerne County
18707,ZCTA5 18707,42079,Luzerne County
18708,ZCTA5 18708,42079,Luzerne County
18709,ZCTA5 18709,42079,Luzerne County
18801,ZCTA5 18801,42115,Susquehanna County
18810,ZCTA5 18810,42015,Bradford County
18812,ZCTA5 18812,42115,Susquehanna County
18814,ZCTA5 18814,42015,Bradford County
18816,ZCTA5 18816,42115,Susquehanna County
18817,ZCTA5 18817,42015,Bradford County
18818,ZCTA5 18818,42115,Susquehanna County
18820,ZCTA5 18820,42115,Susquehanna County
18821,ZCTA5 18821,42115,Susquehanna County
18822,ZCTA5 18822,42115,Susquehanna County
18823,ZCTA5 18823,42115,Susquehanna County
18824,ZCTA5 18824,42115,Susquehanna County
18825,ZCTA5 18825,42115,Susquehanna County
18826,ZCTA5 18826,42115,Susquehanna County
18828,ZCTA5 18828,42115,Susquehanna County
18829,ZCTA5 18829,42015,Bradford County
18829,ZCTA5 18829,42115,Susquehanna County
18830,ZCTA5 18830,42015,Bradford County
18830,ZCTA5 18830,42115,Susquehanna County
18831,ZCTA5 18831,42015,Bradford County
18832,ZCTA5 18832,42015,Bradford County
18833,ZCTA5 18833,42015,Bradford County
18833,ZCTA5 18833,42113,Sullivan County
18834,ZCTA5 18834,42115,Susquehanna County
18837,ZCTA5 18837,42015,Bradford County
18840,ZCTA5 18840,42015,Bradford County
18842,ZCTA5 18842,42115,Susquehanna County
18843,ZCTA5 18843,42115,Susquehanna County
18844,ZCTA5 18844,42115,Susquehanna County
18844,ZCTA5 18844,42131,Wyoming County
18845,ZCTA5 18845,42015,Bradford County
18846,ZCTA5 18846,42015,Bradford County
18846,ZCTA5 18846,42131,Wyoming County
18847,ZCTA5 18847,42115,Susquehanna County
18847,ZCTA5 18847,42127,Wayne County
18848,ZCTA5 18848,42015,Bradford County
18850,ZCTA5 18850,42015,Bradford County
18851,ZCTA5 18851,42015,Bradford County
18853,ZCTA5 18853,42015,Bradford County
18854,ZCTA5 18854,42015,Bradford County
18901,ZCTA5 18901,42017,Bucks County
18902,ZCTA5 18902,42017,Bucks County
18912,ZCTA5 18912,42017,Bucks County
18913,ZCTA5 18913,42017,Bucks County
18914,ZCTA5 18914,42017,Bucks County
18914,ZCTA5 18914,42091,Montgomery County
